experiment2_results
id_sim,City ,Compliance,Cumulative economic index,Hospitalize ,Deceased ,Order Vac,Length of action 0       (days),Length of action 1     (days),Length of action 2.      (days),Length of action 3     (days),Length of action 4        (days),Length of action 5      (days),Length of action 6      (days),Length of action 7       (days),Length of action 8        (days),Length of action 9        (days),Length of action 10       (days),Rt
1,Holon ,0.35,2057267411,1245,270,ASCENDING,0,30,0,0,30,0,0,0,30,0,30,0.987
2,Holon ,0.35,1948640471,1380,665,ASCENDING,0,0,0,30,30,0,30,0,0,0,30,1.030
3,Holon ,0.35,1955366161,1374,722,ASCENDING,0,0,0,30,0,0,30,0,30,0,30,1.054
4,Holon ,0.35,1835018390,1532,688,ASCENDING,0,0,0,30,0,0,60,0,0,0,30,1.043
5,Holon ,0.35,2302919061,1075,230,ASCENDING,0,0,0,0,60,0,30,0,0,0,30,1.061
6,Holon ,0.35,1944415010,1310,294,ASCENDING,0,0,0,0,60,0,30,0,0,0,30,1.138
7,Holon ,0.35,1851256756,1696,378,ASCENDING,0,0,0,0,0,0,30,0,60,0,30,0.933
8,Holon ,0.35,1900177978,1363,673,ASCENDING,30,0,30,0,0,30,0,0,0,30,0,0.946
9,Holon ,0.35,2042902959,1021,923,ASCENDING,0,0,30,30,30,0,0,0,30,0,0,1.194
10,Holon ,0.35,2061618998,1441,767,ASCENDING,0,0,30,0,0,30,30,0,0,30,0,0.947
11,Holon ,0.35,2012511188,1389,341,ASCENDING,0,0,0,0,30,0,30,0,30,0,30,0.977
12,Holon ,0.35,2206424320,1164,713,ASCENDING,0,0,30,0,30,60,0,0,0,0,0,1.080
13,Holon ,0.35,1868148385,1549,653,ASCENDING,0,30,0,30,0,30,30,0,0,0,0,1.019
14,Holon ,0.35,1916983014,1659,404,ASCENDING,0,0,0,0,0,0,30,0,0,30,60,0.930
15,Holon ,0.35,1898641426,1495,692,ASCENDING,0,0,30,0,30,0,30,0,0,0,30,1.042
16,Holon ,0.35,1848749586,1549,683,ASCENDING,30,30,30,0,0,0,0,0,30,0,0,0.938
17,Holon ,0.35,1777627761,1596,365,ASCENDING,30,30,0,0,30,0,30,0,0,0,0,1.005
18,Holon ,0.35,1933170609,1674,406,ASCENDING,0,0,0,0,0,0,30,0,0,30,60,0.901
19,Holon ,0.35,1794641869,1563,399,ASCENDING,0,60,0,0,0,0,0,0,0,0,60,0.938
20,Holon ,0.35,2084776689,1567,630,ASCENDING,30,0,30,0,0,0,30,0,0,0,30,0.905
21,Holon ,0.35,1822405342,1683,377,ASCENDING,30,30,0,0,0,0,0,0,0,0,60,1.141
22,Holon ,0.35,1965700367,1364,745,ASCENDING,0,0,30,0,30,0,60,0,0,0,0,0.903
23,Holon ,0.35,1839629160,1436,682,ASCENDING,0,0,30,0,30,0,30,0,0,0,30,1.033
24,Holon ,0.35,1905251352,1227,258,ASCENDING,0,0,0,0,30,0,30,30,0,0,30,1.018
25,Holon ,0.35,1835990279,1338,317,ASCENDING,0,0,0,0,30,30,30,0,0,0,30,0.943
26,Holon ,0.35,1863740062,1364,314,ASCENDING,0,0,0,0,60,30,30,0,0,0,0,1.065
27,Holon ,0.35,1935773545,1656,410,ASCENDING,0,0,0,0,0,0,60,0,30,0,30,1.040
28,Holon ,0.35,1970262071,1398,685,ASCENDING,0,0,0,30,30,0,30,0,0,0,30,1.109
29,Holon ,0.35,1764223905,1500,362,ASCENDING,30,0,0,0,0,0,30,0,0,0,60,0.930
30,Holon ,0.35,1825545954,1128,273,ASCENDING,0,0,0,0,60,0,30,0,0,0,30,1.042
31,Holon ,0.35,1659732345,1406,314,ASCENDING,0,0,0,0,30,0,60,0,0,0,30,1.065
32,Holon ,0.35,1780107278,1424,678,ASCENDING,0,0,30,0,0,0,30,0,0,0,60,1.009
33,Holon ,0.35,1781011194,1397,291,ASCENDING,0,0,0,0,30,0,30,0,30,0,30,1.007
34,Holon ,0.35,1593407333,1499,331,ASCENDING,0,30,0,0,0,0,30,0,30,0,30,1.032
35,Holon ,0.35,2052622567,976,219,ASCENDING,0,0,0,0,60,0,30,0,0,0,30,1.007
36,Holon ,0.35,1708151908,1253,280,ASCENDING,0,0,0,0,30,0,30,0,30,0,30,1.025
37,Holon ,0.35,1789380117,1250,311,ASCENDING,0,0,0,0,30,0,30,0,0,30,30,0.950
38,Holon ,0.35,1651168902,1003,231,ASCENDING,0,0,0,0,30,0,30,30,0,0,30,1.001
39,Holon ,0.35,1590769585,1350,309,ASCENDING,0,30,0,0,30,0,30,0,0,0,30,0.979
40,Holon ,0.35,1631750145,1368,311,ASCENDING,30,0,0,0,30,30,0,0,0,0,30,1.053
41,Holon ,0.35,1591419448,1167,266,ASCENDING,0,0,0,0,0,30,30,30,30,0,0,0.895
42,Holon ,0.35,1617897937,1518,339,ASCENDING,0,0,0,0,30,30,30,0,0,0,30,0.883
43,Holon ,0.35,1690849463,1301,267,ASCENDING,0,0,0,0,60,0,30,0,0,0,30,0.985
44,Holon ,0.35,1687257954,1032,215,ASCENDING,30,0,0,0,0,0,30,30,0,30,0,0.976
45,Holon ,0.35,1609839167,1419,353,ASCENDING,0,0,0,0,0,0,30,30,30,0,30,0.948
46,Holon ,0.35,1649120369,1352,276,ASCENDING,0,30,0,0,30,0,30,0,0,0,30,1.023
47,Holon ,0.35,1592665356,1622,335,ASCENDING,30,0,0,0,0,30,0,0,30,0,30,0.835
48,Holon ,0.35,1687221736,1471,320,ASCENDING,0,30,0,0,0,0,30,0,30,0,30,0.909
49,Holon ,0.35,1599157354,1161,1032,ASCENDING,0,0,60,30,0,0,0,0,0,0,30,1.168
50,Holon ,0.35,1631465173,1442,601,ASCENDING,30,0,30,0,0,0,30,0,30,0,0,0.936
51,Holon ,0.35,1974852375,1097,665,ASCENDING,0,30,0,30,0,0,30,0,0,0,30,1.000
52,Holon ,0.35,1931982595,1394,303,ASCENDING,30,0,0,0,30,0,30,0,0,0,30,0.993
53,Holon ,0.35,1919572396,969,212,ASCENDING,0,0,0,0,30,0,0,30,30,0,30,1.032
54,Holon ,0.35,1913355601,1053,222,ASCENDING,0,30,0,0,60,0,0,0,0,0,30,0.989
55,Holon ,0.35,1956428193,1032,788,ASCENDING,30,0,0,30,30,0,30,0,0,0,0,1.074
56,Holon ,0.35,1901198856,1245,330,ASCENDING,0,30,0,0,0,60,30,0,0,0,0,0.900
57,Holon ,0.35,1952659910,1314,277,ASCENDING,0,0,0,0,30,0,30,0,0,0,60,1.070
