strategy,day,critical,deceased,reward,economic_index
Bene-Beraq_ASCENDING_1.0,21,1,0,-56180012.37018560,28090006.376000000
Bene-Beraq_ASCENDING_1.0,22,1,0,-28024813.646752900,56114820.392000000
Bene-Beraq_ASCENDING_1.0,23,1,0,-27968203.63264620,84083024.384
Bene-Beraq_ASCENDING_1.0,24,1,0,-27913411.57666790,111996436.312
Bene-Beraq_ASCENDING_1.0,25,1,0,111424829.87556700,139852643.696
Bene-Beraq_ASCENDING_1.0,26,1,0,55598268.40780200,167651777.736
Bene-Beraq_ASCENDING_1.0,27,1,0,110942640.31068900,195387437.736
Bene-Beraq_ASCENDING_1.0,28,1,0,110685810.75918100,223058890.352
Bene-Beraq_ASCENDING_1.0,29,1,0,-27604965.64407140,250663856.27200000
Bene-Beraq_ASCENDING_1.0,30,1,0,-27535632.57826460,278199489.104
Bene-Beraq_ASCENDING_1.0,31,1,0,54918221.01206610,305658599.496
Bene-Beraq_ASCENDING_1.0,32,1,0,54762766.359188200,333039982.576
Bene-Beraq_ASCENDING_1.0,33,1,0,-27299898.404909200,360339881.144
Bene-Beraq_ASCENDING_1.0,34,1,0,-27215992.24766970,387555873.52
Bene-Beraq_ASCENDING_1.0,35,1,0,-27129788.50270840,414685662.112
Bene-Beraq_ASCENDING_1.0,36,1,0,-27045301.275340600,441730963.44
Bene-Beraq_ASCENDING_1.0,37,1,0,-26962373.474646600,468693336.928
Bene-Beraq_ASCENDING_1.0,38,1,0,53748303.08684760,495567621.09600000
Bene-Beraq_ASCENDING_1.0,39,1,0,53573222.22162220,522354375.928
Bene-Beraq_ASCENDING_1.0,40,2,0,53397389.91098480,549053226.704
Bene-Beraq_ASCENDING_1.0,41,3,0,-26595501.8660532,575648385.912
Bene-Beraq_ASCENDING_1.0,42,3,0,52963193.28872040,602130170.6640000
Bene-Beraq_ASCENDING_1.0,43,3,0,52758145.85215300,628509446.8720000
Bene-Beraq_ASCENDING_1.0,44,5,0,-26253603.12455640,654762602.6560000
Bene-Beraq_ASCENDING_1.0,45,6,0,-26121491.13176010,680883603.2640000
Bene-Beraq_ASCENDING_1.0,46,6,0,-25974842.287529200,706857904.224
Bene-Beraq_ASCENDING_1.0,47,7,1,51637159.51863060,732676782.656
Bene-Beraq_ASCENDING_1.0,48,8,1,-25667142.08118580,758343273.112
Bene-Beraq_ASCENDING_1.0,49,12,1,51038292.86732730,783862771.696
Bene-Beraq_ASCENDING_1.0,50,13,1,-25348568.071548900,809210571.16
Bene-Beraq_ASCENDING_1.0,51,13,1,57895470.55079840,838158723.16
Bene-Beraq_ASCENDING_1.0,52,13,1,57681150.2763939,866999741.16
Bene-Beraq_ASCENDING_1.0,53,13,1,57476368.40848370,895738393.16
Bene-Beraq_ASCENDING_1.0,54,13,1,114570025.61553800,924381145.16
Bene-Beraq_ASCENDING_1.0,55,13,1,114203916.9616990,952932381.16
Bene-Beraq_ASCENDING_1.0,56,13,1,170735874.56983600,981388539.16
Bene-Beraq_ASCENDING_1.0,57,13,1,170139054.03886800,1009745235.16
Bene-Beraq_ASCENDING_1.0,58,13,1,169546505.7752870,1038003181.16
Bene-Beraq_ASCENDING_1.0,59,13,1,168897733.0998,1066153007.16
Bene-Beraq_ASCENDING_1.0,60,13,1,168309793.37099600,1094204851.1600000
Bene-Beraq_ASCENDING_1.0,61,13,1,167751111.7812980,1122163589.1600000
Bene-Beraq_ASCENDING_1.0,62,14,1,111530071.01541200,1150046445.1600000
Bene-Beraq_ASCENDING_1.0,63,14,1,55632258.795127100,1177863267.1600000
Bene-Beraq_ASCENDING_1.0,64,14,1,110955256.82599400,1205602437.1600000
Bene-Beraq_ASCENDING_1.0,65,14,1,110619183.91559100,1233257599.1600000
Bene-Beraq_ASCENDING_1.0,66,16,1,55165749.28881140,1260841223.1600000
Bene-Beraq_ASCENDING_1.0,67,17,1,110152855.49666800,1288379817.1600000
Bene-Beraq_ASCENDING_1.0,68,18,1,54943927.54377150,1315852557.1600000
Bene-Beraq_ASCENDING_1.0,69,19,1,109722419.35595800,1343283555.1600000
Bene-Beraq_ASCENDING_1.0,70,21,1,54789886.51049770,1370679293.1600000
Bene-Beraq_ASCENDING_1.0,71,23,1,109384842.98033100,1398025907.1600000
Bene-Beraq_ASCENDING_1.0,72,25,1,109173633.57844600,1425319725.1600000
Bene-Beraq_ASCENDING_1.0,73,27,1,108976673.9145860,1452564309.1600000
Bene-Beraq_ASCENDING_1.0,74,31,2,108785523.58766600,1479761111.1600000
Bene-Beraq_ASCENDING_1.0,75,35,2,108666077.8171710,1506928055.1600000
Bene-Beraq_ASCENDING_1.0,76,38,3,54217386.543568200,1534037611.1600000
