strategy,day,critical,deceased,reward,economic_index
Holon_DESCENDING_1.0,21,1,0,-26882203.456072000,26882203.648
Holon_DESCENDING_1.0,22,1,0,-26788227.11537290,53670430.928000000
Holon_DESCENDING_1.0,23,1,0,-26693210.92108270,80363641.984
Holon_DESCENDING_1.0,24,1,0,53198773.43293990,106963028.648
Holon_DESCENDING_1.0,25,1,0,106004210.69762400,133464081.304
Holon_DESCENDING_1.0,26,1,0,105605761.34895500,159865521.632
Holon_DESCENDING_1.0,27,1,0,105177049.1451530,186159847.152
Holon_DESCENDING_1.0,28,1,0,52362626.129711200,212341297.792
Holon_DESCENDING_1.0,29,1,0,52143838.02912980,238413365.824
Holon_DESCENDING_1.0,30,2,0,51920853.45130100,264373954.08
Holon_DESCENDING_1.0,31,2,0,51682629.71532150,290215445.25600000
Holon_DESCENDING_1.0,32,2,0,51429762.86061080,315930519.06400000
Holon_DESCENDING_1.0,33,2,0,51171725.42830850,341516591.15200000
Holon_DESCENDING_1.0,34,2,0,-25448625.635628300,366964759.0960000
Holon_DESCENDING_1.0,35,2,0,-25309199.321500600,392273460.17600000
Holon_DESCENDING_1.0,36,3,0,-25157261.360491400,417430177.3920000
Holon_DESCENDING_1.0,37,5,0,-24999274.267460800,442428856.9280000
Holon_DESCENDING_1.0,38,7,0,-24832531.749849700,467260741.3520000
Holon_DESCENDING_1.0,39,11,0,49310611.228363400,491916400.27200000
Holon_DESCENDING_1.0,40,15,0,-24481762.039832100,516397398.2880000
Holon_DESCENDING_1.0,41,16,0,-24287368.538716100,540683933.4800000
Holon_DESCENDING_1.0,42,17,0,-24088710.782611100,564771737.7120000
Holon_DESCENDING_1.0,43,21,0,-23877309.622377100,588648064.3680000
Holon_DESCENDING_1.0,44,25,0,-23649035.566896100,612296030.2480000
Holon_DESCENDING_1.0,45,24,1,46854601.259767800,635723907.2080000
Holon_DESCENDING_1.0,46,32,1,-23221077.965589700,658943754.2240000
Holon_DESCENDING_1.0,47,37,3,46001331.14918180,681945076.0240000
Holon_DESCENDING_1.0,48,36,4,45533977.783995900,704712766.5760000
